0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:41:27 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:41:27 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:41:55 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:41:55 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:42:28 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1200
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:42:28 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:45:44 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2285
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:45:44 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:46:09 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:46:09 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:49:06 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:50:30 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:50:30 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:52:59 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:52:59 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:53:15 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:53:16 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:53:41 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:53:41 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:53:55 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:53:55 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:54:02 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:54:02 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:55:39 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:55:39 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:56:56 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:56:56 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:57:14 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:57:14 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:57:39 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:57:39 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:57:46 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:57:46 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:58:24 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2937
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:58:24 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:58:33 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:58:33 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:58:56 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:58:56 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:01:33 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:01:33 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:01:46 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1976
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:01:46 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:12:24 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:12:24 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:13:41 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1979
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:13:41 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:14:16 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1997
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:14:16 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:14:27 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [26/Aug/2016:17:14:27 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
